dip_bal_006	dip	39.8937166667	0.68678333
dip_bal_010	dip	39.8894333333	0.66713333
dip_bal_018	dip	39.8935833333	0.68670000
dip_bal_045	dip	39.7965333333	3.20068333
dip_bal_073	dip	39.6521833333	3.47445000
dip_bal_084	dip	39.7756166667	3.41446667
dip_bal_103	dip	39.7639000000	3.40526667
dip_bal_108	dip	39.7857000000	3.43960000
dip_bal_116	dip	39.7559330000	3.22230000
dip_bal_119	dip	39.7564830000	3.24970000
dip_fra_029	dip	42.5144900000	3.13794000
dip_fra_050	dip	42.5146100000	3.13855000
dip_fra_052	dip	42.5146100000	3.13855000
dip_fra_057	dip	42.5146100000	3.13855000
dip_fra_064	dip	42.4898100000	3.13469667
dip_fra_083	dip	43.2767500000	3.51678000
dip_fra_093	dip	43.2767500000	3.51678000
dip_spaAL_035	dip	38.2814300000	-0.50466000
dip_spaAL_040	dip	37.9314600000	-0.67174000
dip_spaN_001	dip	41.8010616667	3.07082333
dip_spaN_002	dip	41.8010616667	3.07082333
dip_spaN_004	dip	42.2390666667	3.18119500
dip_spaN_015	dip	42.3226917000	3.30976667
dip_spaN_019	dip	42.3226917000	3.30976667
dip_spaN_020	dip	42.3226917000	3.30976667
dip_spaN_046	dip	41.857215	3.14938
dip_spaN_047	dip	41.113193	1.302395
dip_spaS_025	dip	37.5497250000	-0.98068800
dip_spaS_050	dip	37.7533860000	-0.74441200
dip_spaS_054	dip	37.7021670000	-0.75163900
mul_bal_019	mul	39.6049833333	3.41320000
mul_bal_059	mul	39.6378666667	3.44958333
mul_bal_066	mul	39.3252666667	2.96961667
mul_bal_075	mul	39.8798833333	3.15960000
mul_bal_078	mul	40.0343833333	4.18721667
mul_bal_101	mul	39.2796000000	2.94460000
mul_bal_119	mul	39.706862	3.468217
mul_bal_128	mul	40.073367	4.080367
mul_fra_042	mul	42.5210166667	3.14844000
mul_fra_070	mul	42.4688916667	3.16298667
mul_fra_074	mul	42.4688916667	3.16298667
mul_fra_087	mul	42.4720050000	3.15709500
mul_fra_095	mul	42.4720050000	3.15709500
mul_fra_103	mul	42.4720050000	3.15709500
Mul_MEDIT_056	Mul	39.2759200000	-0.13708000
Mul_MEDIT_077	Mul	39.8294200000	0.70775000
Mul_MEDIT_086	Mul	41.0266700000	1.37658000
Mul_MEDIT_095	Mul	41.2020000000	2.14200000
mul_spaAL_034	mul	38.2196800000	-0.45850000
mul_spaAL_040	mul	38.1810800000	-0.44419000
mul_spaAL_088	mul	38.1441000000	-0.61325000
mul_spaN_016	mul	42.3226917000	3.30976667
mul_spaN_024	mul	42.2848806000	3.29735278
mul_spaN_029	mul	42.2848806000	3.29735278
mul_spaN_065	mul	41.96427000	3.22777700
mul_spaS_026	mul	36.863933	-1.980133
mul_spaS_050	mul	37.079483	-1.842383
mul_spaS_079	mul	37.0311170000	-1.86741700
mul_spaS_121	mul	37.5544330000	-0.91683300
mul_spaS_153	mul	36.891833	-1.935233
ser_bal_001	ser	40.0763333333	4.08476667
ser_bal_032	ser	39.8521333333	0.68198333
ser_bal_051	ser	39.9048833333	0.63161667
ser_bal_078	ser	39.8246166667	3.25103333
ser_bal_079	ser	39.8313000000	4.34481667
ser_bal_127	ser	39.7920000000	3.73351667
ser_bal_137	ser	39.8744500000	3.25943333
ser_bal_141	ser	39.8240666667	3.47123333
ser_bal_147	ser	39.6496333333	3.60728333
ser_bal_166	ser	39.8039333333	3.38046667
ser_bal_179	ser	39.2796000000	2.94460000
ser_bal_193	ser	39.8808330000	3.40558300
ser_fra_031	ser	42.4785216667	3.14752500
ser_fra_048	ser	42.4932433333	3.13357167
Ser_MEDIT_034	Ser	41.8161700000	3.15158000
Ser_MEDIT_035	Ser	41.1475000000	1.79450000
ser_spaAL_020	ser	38.3033700000	-0.46386000
ser_spaAL_049	ser	38.1718800000	-0.44830000
ser_spaAL_056	ser	38.1718800000	-0.44830000
ser_spaAL_062	ser	38.1614000000	-0.52830000
ser_spaAL_065	ser	38.1614000000	-0.52830000
ser_spaAL_066	ser	38.1614000000	-0.52830000
ser_spaAL_072	ser	38.3168000000	-0.44709000
ser_spaS_039	ser	36.79495	-2.28535
ser_spaS_084	ser	37.1843830000	-1.80720000
ser_spaS_089	ser	37.1973330000	-1.76621700
ser_spaS_122	ser	37.5911170000	-0.72521700
ser_spaS_125	ser	37.5826330000	-0.79351700
ser_spaS_131	ser	37.5853170000	-0.78246700
ser_spaS_150	ser	36.891833	-1.935233
